,YR_MO,CALL_DATE,AGENT_KEY,CALLS,HANDLE_TIME,CALL_REGEN,CALLS_WITH_OFFER,CALLS_WITH_ACCEPT,CALLS_OFFER_APPLIED,TRANSFERS,EFF_DT,TERM_DT,AGENT_ID,AGENT_NAME,TEAM_LEAD_ID,TEAM_LEAD_NAME,CALL_CENTER
0,201706,2017-06-01,12465,34,25710,5,31,22,19,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
1,201706,2017-06-02,12465,37,24506,4,34,27,19,3,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
2,201706,2017-06-04,12465,38,25249,5,35,27,23,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
3,201706,2017-06-05,12465,32,24019,3,29,23,17,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
4,201706,2017-06-06,12465,36,24810,6,33,25,20,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
5,201706,2017-06-08,12465,40,25576,4,37,28,24,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
6,201706,2017-06-09,12465,34,24067,5,32,24,18,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
7,201706,2017-06-11,12465,34,25112,6,32,27,20,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
8,201706,2017-06-12,12465,37,24054,5,34,26,20,3,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
9,201706,2017-06-13,12465,38,24225,7,38,31,22,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
10,201706,2017-06-15,12465,37,24964,7,36,26,20,3,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
11,201706,2017-06-16,12465,34,24992,6,33,30,22,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
12,201706,2017-06-18,12465,38,24530,6,38,31,24,3,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
13,201706,2017-06-19,12465,34,25904,4,33,23,19,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
14,201706,2017-06-20,12465,38,25383,5,34,29,26,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
15,201706,2017-06-22,12465,37,24015,5,34,28,24,3,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
16,201706,2017-06-23,12465,40,25482,8,36,26,22,3,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
17,201706,2017-06-25,12465,34,24736,7,32,27,20,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
18,201706,2017-06-26,12465,38,25559,4,38,27,23,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
19,201706,2017-06-27,12465,33,25092,4,32,24,18,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
20,201706,2017-06-29,12465,35,24169,4,33,27,22,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
21,201706,2017-06-30,12465,39,25409,4,35,27,21,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
22,201707,2017-07-06,12465,35,24025,4,33,25,21,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
23,201707,2017-07-07,12465,39,24484,5,39,34,24,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
24,201707,2017-07-09,12465,38,24179,8,37,32,22,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
25,201707,2017-07-10,12465,39,24270,8,38,33,25,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
26,201707,2017-07-11,12465,34,24323,3,31,26,23,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
27,201707,2017-07-13,12465,32,24437,4,32,24,18,1,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
28,201707,2017-07-14,12465,39,24858,8,36,31,23,2,2017-05-01,2020-12-31,201700121,"Anderson, Albert",201700011,"Winnerson, Aceona",Williamburg
